"year","month","gu","price"
"2011","11",노원구,379.9
"2011","11",도봉구,341.8
"2011","11",동대문구,424.5
"2011","11",동작구,475.0
"2011","11",마포구,592.0
"2011","11",서대문구,425.1
"2011","11",서초구,609.4
"2011","11",성동구,477.4
"2011","11",성북구,434.1
"2011","11",송파구,560.1
"2011","11",양천구,411.4
"2011","11",영등포구,486.8
"2011","11",용산구,770.2
"2011","11",은평구,340.0
"2011","11",종로구,638.7
"2011","11",중구,664.5
"2011","11",중랑구,368.3
"2011","12",강남구,699.5
"2011","12",강동구,461.6
"2011","12",강북구,347.4
"2011","12",강서구,371.5
"2011","12",관악구,451.3
"2011","12",광진구,512.0
"2011","12",구로구,373.7
"2011","12",금천구,311.7
"2011","12",노원구,381.9
"2011","12",도봉구,336.9
"2011","12",동대문구,399.3
"2011","12",동작구,479.3
"2011","12",마포구,586.2
"2011","12",서대문구,416.2
"2011","12",서초구,651.7
"2011","12",성동구,529.1
"2011","12",성북구,442.8
"2011","12",송파구,570.2
"2011","12",양천구,419.2
"2011","12",영등포구,458.7
"2011","12",용산구,767.7
"2011","12",은평구,377.5
"2011","12",종로구,675.8
"2011","12",중구,596.4
"2011","12",중랑구,374.3
"2012","01",강남구,737.2
"2012","01",강동구,447.9
"2012","01",강북구,367.8
"2012","01",강서구,408.3
"2012","01",관악구,428.3
"2012","01",광진구,530.2
"2012","01",구로구,409.7
"2012","01",금천구,354.4
"2012","01",노원구,378.1
"2012","01",도봉구,341.2
"2012","01",동대문구,376.3
"2012","01",동작구,536.3
"2012","01",마포구,517.6
"2012","01",서대문구,458.6
"2012","01",서초구,681.7
"2012","01",성동구,509.3
"2012","01",성북구,428.2
"2012","01",송파구,570.0
"2012","01",양천구,413.7
"2012","01",영등포구,450.8
"2012","01",용산구,715.2
"2012","01",은평구,374.1
"2012","01",종로구,575.2
"2012","01",중구,540.6
"2012","01",중랑구,389.8
"2012","02",강남구,809.1
"2012","02",강동구,496.3
"2012","02",강북구,349.4
"2012","02",강서구,386.1
"2012","02",관악구,453.3
"2012","02",광진구,478.1
"2012","02",구로구,413.8
"2012","02",금천구,319.9
"2012","02",노원구,358.1
"2012","02",도봉구,327.7
"2012","02",동대문구,383.4
"2012","02",동작구,469.3
"2012","02",마포구,504.9
"2012","02",서대문구,447.6
"2012","02",서초구,625.9
"2012","02",성동구,509.7
"2012","02",성북구,438.5
"2012","02",송파구,588.1
"2012","02",양천구,406.9
"2012","02",영등포구,436.8
"2012","02",용산구,783.9
"2012","02",은평구,380.7
"2012","02",종로구,636.7
"2012","02",중구,521.9
"2012","02",중랑구,386.8
"2012","03",강남구,931.3
"2012","03",강동구,454.3
"2012","03",강북구,349.7
"2012","03",강서구,372.9
"2012","03",관악구,435.2
"2012","03",광진구,529.8
"2012","03",구로구,377.5
"2012","03",금천구,334.6
"2012","03",노원구,385.0
"2012","03",도봉구,327.2
"2012","03",동대문구,412.7
"2012","03",동작구,463.1
"2012","03",마포구,604.0
"2012","03",서대문구,424.8
"2012","03",서초구,671.3
"2012","03",성동구,492.0
"2012","03",성북구,418.7
"2012","03",송파구,540.8
"2012","03",양천구,419.4
"2012","03",영등포구,486.6
"2012","03",용산구,691.6
"2012","03",은평구,373.7
"2012","03",종로구,586.8
"2012","03",중구,526.6
"2012","03",중랑구,364.6
"2012","04",강남구,749.3
"2012","04",강동구,470.3
"2012","04",강북구,360.2
"2012","04",강서구,388.4
"2012","04",관악구,403.9
"2012","04",광진구,473.5
"2012","04",구로구,360.8
"2012","04",금천구,325.1
"2012","04",노원구,349.9
"2012","04",도봉구,342.6
"2012","04",동대문구,411.5
"2012","04",동작구,566.2
"2012","04",마포구,507.0
"2012","04",서대문구,469.6
"2012","04",서초구,649.3
"2012","04",성동구,531.4
"2012","04",성북구,416.0
"2012","04",송파구,643.5
"2012","04",양천구,390.0
"2012","04",영등포구,465.2
