"year","month","gu","price","kind"
"2011","11",종로구,650.6,"1"
"2011","11",중구,566.3,"1"
"2011","11",용산구,785.7,"1"
"2011","11",성동구,572.1,"1"
"2011","11",광진구,646.7,"1"
"2011","11",동대문구,476.9,"1"
"2011","11",중랑구,427.0,"1"
"2011","11",성북구,459.2,"1"
"2011","11",강북구,403.2,"1"
"2011","11",도봉구,385.4,"1"
"2011","11",노원구,428.6,"1"
"2011","11",은평구,434.9,"1"
"2011","11",서대문구,436.7,"1"
"2011","11",마포구,624.2,"1"
"2011","11",양천구,583.0,"1"
"2011","11",강서구,478.0,"1"
"2011","11",구로구,444.9,"1"
"2011","11",금천구,364.9,"1"
"2011","11",영등포구,547.2,"1"
"2011","11",동작구,615.5,"1"
"2011","11",관악구,476.6,"1"
"2011","11",서초구,845.1,"1"
"2011","11",강남구,1068.5,"1"
"2011","11",송파구,865.7,"1"
"2011","11",강동구,605.5,"1"
"2011","12",종로구,565.7,"1"
"2011","12",중구,557.2,"1"
"2011","12",용산구,799.6,"1"
"2011","12",성동구,575.2,"1"
"2011","12",광진구,617.4,"1"
"2011","12",동대문구,475.0,"1"
"2011","12",중랑구,431.9,"1"
"2011","12",성북구,460.5,"1"
"2011","12",강북구,409.3,"1"
"2011","12",도봉구,373.6,"1"
"2011","12",노원구,432.5,"1"
"2011","12",은평구,444.6,"1"
"2011","12",서대문구,448.9,"1"
"2011","12",마포구,631.1,"1"
"2011","12",양천구,597.0,"1"
"2011","12",강서구,467.3,"1"
"2011","12",구로구,417.4,"1"
"2011","12",금천구,373.3,"1"
"2011","12",영등포구,552.2,"1"
"2011","12",동작구,605.0,"1"
"2011","12",관악구,464.9,"1"
"2011","12",서초구,876.1,"1"
"2011","12",강남구,1089.7,"1"
"2011","12",송파구,880.5,"1"
"2011","12",강동구,644.3,"1"
"2011","02",종로구,588.8,"1"
"2011","02",중구,587.4,"1"
"2011","02",용산구,849.5,"1"
"2011","02",성동구,607.1,"1"
"2011","02",광진구,647.2,"1"
"2011","02",동대문구,465.0,"1"
"2011","02",중랑구,434.4,"1"
"2011","02",성북구,477.2,"1"
"2011","02",강북구,426.4,"1"
"2011","02",도봉구,398.5,"1"
"2011","02",노원구,447.7,"1"
"2011","02",은평구,446.2,"1"
"2011","02",서대문구,463.0,"1"
"2011","02",마포구,609.9,"1"
"2011","02",양천구,590.9,"1"
"2011","02",강서구,485.2,"1"
"2011","02",구로구,446.3,"1"
"2011","02",금천구,368.8,"1"
"2011","02",영등포구,569.1,"1"
"2011","02",동작구,570.0,"1"
"2011","02",관악구,492.3,"1"
"2011","02",서초구,893.3,"1"
"2011","02",강남구,1034.0,"1"
"2011","02",송파구,832.8,"1"
"2011","02",강동구,584.3,"1"
"2011","03",종로구,562.1,"1"
"2011","03",중구,552.6,"1"
"2011","03",용산구,871.1,"1"
"2011","03",성동구,587.3,"1"
"2011","03",광진구,638.1,"1"
"2011","03",동대문구,461.0,"1"
"2011","03",중랑구,432.2,"1"
"2011","03",성북구,493.3,"1"
"2011","03",강북구,420.6,"1"
"2011","03",도봉구,399.5,"1"
"2011","03",노원구,443.6,"1"
