"년","구이름","동이름","평균거래금액","평균전용면적","평당가격","구분"
"2010",성동구,성수동2가,56877,87.0,649,"1"
"2010",성동구,송정동,35492,82.0,436,"1"
"2010",송파구,송파동,63925,97.0,668,"1"
"2010",은평구,수색동,37190,81.0,463,"1"
"2010",강남구,수서동,46968,57.0,847,"1"
"2010",종로구,수송동,24425,35.0,708,"1"
"2010",강북구,수유동,28499,79.0,367,"1"
"2010",중구,순화동,33314,69.0,484,"1"
"2010",종로구,숭인동,47548,84.0,562,"1"
"2010",금천구,시흥동,26866,75.0,365,"1"
"2010",마포구,신공덕동,42895,63.0,685,"1"
"2010",종로구,신교동,51700,85.0,610,"1"
"2010",영등포구,신길동,33985,69.0,500,"1"
"2010",중랑구,신내동,27912,69.0,415,"1"
"2010",중구,신당동,46786,81.0,571,"1"
"2010",동작구,신대방동,44716,84.0,535,"1"
"2010",구로구,신도림동,42449,77.0,550,"1"
"2010",관악구,신림동,31834,72.0,463,"1"
"2010",종로구,신문로1가,34600,98.0,352,"1"
"2010",은평구,신사동,33117,79.0,406,"1"
"2010",동대문구,신설동,40167,78.0,512,"1"
"2010",마포구,신수동,39598,72.0,544,"1"
"2010",종로구,신영동,24125,66.0,365,"1"
"2010",양천구,신월동,26582,71.0,374,"1"
"2010",마포구,신정동,51843,79.0,648,"1"
"2010",송파구,신천동,81353,82.0,1023,"1"
"2010",도봉구,쌍문동,22936,65.0,355,"1"
"2010",마포구,아현동,35460,70.0,513,"1"
"2010",성북구,안암동1가,38962,73.0,531,"1"
"2010",성북구,안암동3가,26131,79.0,314,"1"
"2010",성북구,안암동4가,17000,61.0,279,"1"
"2010",강동구,암사동,48091,78.0,617,"1"
"2010",강남구,압구정동,170530,121.0,1439,"1"
"2010",서초구,양재동,54051,86.0,635,"1"
"2010",영등포구,양평동1가,33220,65.0,532,"1"
"2010",영등포구,양평동2가,30269,64.0,469,"1"
"2010",영등포구,양평동3가,38197,78.0,500,"1"
"2010",영등포구,양평동4가,33424,73.0,461,"1"
"2010",영등포구,양평동5가,36852,68.0,536,"1"
"2010",영등포구,양평동6가,32164,74.0,434,"1"
