°Å·¡±Ý¾×,°ÇÃà³âµµ,³â,´ëÁö±Ç¸éÀû,¹ýÁ¤µ¿,¿¬¸³´Ù¼¼´ë,¿ù,ÀÏ,Àü¿ë¸éÀû,Áö¹ø,Áö¿ªÄÚµå,Ãþ
"56,800",1995,2018,33.79,ºÏ¾ÆÇöµ¿,µ¿¾Æ¾ÆÆ®¸Ç¼Ç,6,16,76.4,1-93,11410,4
"41,000",2015,2018,35.23,ºÏ¾ÆÇöµ¿,¿¡ÄÚÅ¸¿î,6,19,42.41,1-402,11410,2
"45,400",1993,2018,21.39,ºÏ¾ÆÇöµ¿,(3-245),6,19,38.15,3-245,11410,3
"39,000",2007,2018,29.42,ºÏ¾ÆÇöµ¿,»ó¿øºô-3,6,27,52.99,1-72,11410,3
"19,000",2003,2018,23.59,È«Á¦µ¿,¿¹°Çºô¶ó(Aµ¿),6,2,46.05,285-25,11410,3
"19,000",2014,2018,25.11,È«Á¦µ¿,Å¬¶ó¿ìµå(101µ¿),6,4,43.51,360-92,11410,2
"25,000",1974,2018,57.75,È«Á¦µ¿,(260-34),6,5,59.04,260-34,11410,1
"22,000",1980,2018,34.71,È«Á¦µ¿,Á¦ÀÏÁÖÅÃ,6,6,52.73,266-3,11410,2
"7,000",1965,2018,20.6,È«Á¦µ¿,È«Á¦,6,11,21.55,312-35,11410,3
"10,970",1991,2018,25.53,È«Á¦µ¿,±Ù³²ºô¶ó,6,12,44.47,359-8,11410,3
"29,800",2002,2018,53.81,È«Á¦µ¿,È«Á¦Áø¸íºô¶ó(137-8),6,12,81.93,137-8,11410,4
"24,000",1978,2018,69.9987,È«Á¦µ¿,Àº¼ººô¶ó(5-1),6,18,72.73,5-1,11410,1
"7,500",1965,2018,20.6,È«Á¦µ¿,È«Á¦,6,20,21.55,312-35,11410,3
"34,000",1994,2018,22.87,È«Á¦µ¿,Çö´ëºô¶ó(19-6),6,20,39.18,19-6,11410,2
"22,500",1994,2018,32.91,È«Á¦µ¿,¿ì¼ººô¶ó,6,21,63.72,360-66,11410,3
"10,000",1975,2018,71.06,È«Á¦µ¿,(6-120),6,22,45.98,6-120,11410,-1
"10,000",1993,2018,22.66,È«Á¦µ¿,»êÀåºô¶ó,6,22,44.25,6-44,11410,-1
"19,000",1995,2018,17.38,È«Á¦µ¿,¹«¾Çºô¶ó,6,22,38.2,105-46,11410,4
"14,800",2011,2018,19.4,È«Á¦µ¿,ºê·¹¶óÇÏ¿ì½º,6,23,24.58,156-484,11410,2
"20,300",1991,2018,34.46,È«Á¦µ¿,°üÈÄºô¶ó,6,25,65.05,339-3,11410,2
"22,300",1975,2018,48.0769,È«Á¦µ¿,(313-32),6,25,83.6,313-32,11410,1
"22,300",1975,2018,48.0769,È«Á¦µ¿,(313-32),6,25,61.26,313-32,11410,3
"43,800",2017,2018,62.632,½ÅÃÌµ¿,ÇÃ·Î·»½ºÈúB,6,4,59.67,52-8,11410,2
"28,000",1986,2018,40.8,Ã¢Ãµµ¿,½ÅÃÌÅ¸¿î,6,8,51.48,503-20,11410,-1
"21,000",1997,2018,49.35,¿¬Èñµ¿,(112-13),6,4,59.04,112-13,11410,2
"15,700",1993,2018,16.53,¿¬Èñµ¿,(519-123),6,6,34.56,519-123,11410,3
"41,502",2015,2018,45.314,¿¬Èñµ¿,(305-5),6,8,52.79,305-5,11410,3
"41,502",2015,2018,45.314,¿¬Èñµ¿,(305-5),6,8,52.79,305-5,11410,2
"29,704",2015,2018,32.946,¿¬Èñµ¿,(305-5),6,8,38.38,305-5,11410,4
"44,030",2015,2018,48.01,¿¬Èñµ¿,(305-5),6,8,55.93,305-5,11410,2
"32,232",2015,2018,35.633,¿¬Èñµ¿,(305-5),6,8,41.51,305-5,11410,4
"44,030",2015,2018,48.01,¿¬Èñµ¿,(305-5),6,8,55.93,305-5,11410,3
"36,300",1985,2018,81.33,¿¬Èñµ¿,µ¿Áøºô¶ó,6,9,65.07,141-34,11410,1
"36,000",2003,2018,53.77,¿¬Èñµ¿,¿¹½ÇÈ¨Å¸¿î,6,14,96.54,106-23,11410,2
"34,500",2017,2018,35,¿¬Èñµ¿,¿¡ÀÌÄ¡ÇÃ·¯½º,6,15,45.57,437-43,11410,3
"40,000",2004,2018,43.9,¿¬Èñµ¿,Çª¸¥¸¶À»,6,17,74.27,121-27,11410,4
"14,500",1986,2018,25.86,¿¬Èñµ¿,Å©·Î¹ÙÁÖÅÃCµ¿,6,18,35.95,727-10,11410,2
"12,500",1991,2018,28.52,¿¬Èñµ¿,¿¬Èñºô¶óºñµ¿,6,20,35.4,1-37,11410,2
"25,000",2002,2018,42.41,¿¬Èñµ¿,(525-7),6,27,45.52,525-7,11410,2
"6,000",1992,2018,16,¿¬Èñµ¿,»ó½Åºô¶óBµ¿,6,29,26.53,163-18,11410,-1
"17,300",1989,2018,31.4,¿¬Èñµ¿,(703-5),6,30,58.82,703-5,11410,1
"25,000",2002,2018,43.31,¿¬Èñµ¿,(525-7),6,30,46.49,525-7,11410,4
"40,000",1978,2018,66.12,È«Àºµ¿,»¡°£ºô¶ó(265-327),6,1,73.88,265-327,11410,2
"36,000",1978,2018,66.12,È«Àºµ¿,»¡°£ºô¶ó(265-327),6,1,73.88,265-327,11410,2
"12,400",1983,2018,24.46,È«Àºµ¿,(8-105),6,1,39.84,8-105,11410,2
"18,000",2017,2018,19.29,È«Àºµ¿,´ëÈ£¾ÆÆ®ºô,6,1,28.05,265-416,11410,4
"39,000",1978,2018,66.12,È«Àºµ¿,»¡°£ºô¶ó(265-327),6,1,61.59,265-327,11410,1
"19,000",2003,2018,28.81,È«Àºµ¿,´ë¼º¾ÆÆ®ºô,6,2,57.36,407-4,11410,5
"20,000",1991,2018,28.13,È«Àºµ¿,(217-13),6,4,53.55,217-13,11410,1
"11,000",1983,2018,28.79,È«Àºµ¿,(8-105),6,4,46.9,8-105,11410,1
"14,000",1991,2018,36.34,È«Àºµ¿,(8-120),6,5,45.98,8-120,11410,2
"24,750",2011,2018,28.05,È«Àºµ¿,ÇØ´ãÃ¤(394-16),6,7,58.6,394-16,11410,4
"13,500",1991,2018,29.34,È«Àºµ¿,(13-49),6,8,34.62,13-49,11410,1
"71,400",1991,2018,51.72,È«Àºµ¿,(13-49),6,12,61.02,13-49,11410,-1
"15,700",1992,2018,22.71,È«Àºµ¿,´ë½Åºô¶ó,6,14,44.98,274-67,11410,3
"26,000",2007,2018,39.01,È«Àºµ¿,¿¤¾¾ºô,6,15,71.07,405-11,11410,3
"24,500",1996,2018,51,È«Àºµ¿,½ºÀ§½ºÇö´ëºô¶óÆ®,6,16,132.17,189-5,11410,-1
"7,500",2002,2018,14.4,È«Àºµ¿,½ºÀ§½º±×¸°ºô(1µ¿),6,16,26.79,190-13,11410,4
"75,000",1979,2018,99.17,È«Àºµ¿,(400-3),6,17,90.58,400-3,11410,2
"100,000",1979,2018,132,È«Àºµ¿,(400-3),6,17,97.52,400-3,11410,2
"100,000",1979,2018,132.2,È«Àºµ¿,(400-3),6,17,97.52,400-3,11410,1
"81,000",1979,2018,99,È«Àºµ¿,(400-3),6,18,90.58,400-3,11410,1
"81,000",1979,2018,99.17,È«Àºµ¿,(400-3),6,18,90.58,400-3,11410,1
"22,700",2013,2018,28,È«Àºµ¿,ÇÑ½Å¼¾Æ®·¹ºô,6,18,47.36,295-17,11410,2
"81,000",1979,2018,99.17,È«Àºµ¿,(400-3),6,18,90.58,400-3,11410,2
"55,000",1978,2018,66.12,È«Àºµ¿,»¡°£ºô¶ó(265-327),6,21,73.88,265-327,11410,1
"50,000",1979,2018,77.2,È«Àºµ¿,(172-5),6,23,91.9,172-5,11410,1
"31,500",2016,2018,13.62,È«Àºµ¿,Ã»¾ÈÆÄÀÎ,6,27,42,274-52,11410,8
"8,900",1991,2018,25.29,È«Àºµ¿,³«¿øºô¶ó,6,27,52.65,8-556,11410,-1
"12,000",1993,2018,17,È«Àºµ¿,Çö´ëºô¶ó(414-32),6,30,45.01,414-32,11410,3
"26,500",1994,2018,21.38,ºÏ°¡ÁÂµ¿,¿ìÁ¤ºô¶ó,6,2,48.03,379-27,11410,1
"6,900",1997,2018,26.51,ºÏ°¡ÁÂµ¿,´ë¸²ºô¶ó,6,4,46.99,3-108,11410,-1
"28,500",2002,2018,43.22,ºÏ°¡ÁÂµ¿,ÇÑ¾çºô¶ó(307-10),6,5,75.04,307-10,11410,2
"16,000",2002,2018,29.48,ºÏ°¡ÁÂµ¿,(5-44),6,7,64.69,5-44,11410,4
"18,800",2015,2018,18.19,ºÏ°¡ÁÂµ¿,Áø¼º¾ÆÆ®ºô(3-127),6,8,29.84,3-127,11410,3
"33,500",2005,2018,45.94,ºÏ°¡ÁÂµ¿,½Å¾È¿ùµå(313-5),6,12,82.27,313-5,11410,3
"27,500",2012,2018,33.8,ºÏ°¡ÁÂµ¿,¿µÁÖ¾ÆÆ®ºô,6,12,60.43,344-11,11410,3
"40,700",2003,2018,27.23,ºÏ°¡ÁÂµ¿,½ÅÁ¤ºô¶ó,6,12,66.2,350-2,11410,5
"19,800",1991,2018,19.77,ºÏ°¡ÁÂµ¿,ÇÑ¾çºô¶ó,6,12,48.15,349-29,11410,2
"21,000",2002,2018,25.9,ºÏ°¡ÁÂµ¿,¹Ì»ê¾ÆÆ®ºô,6,15,54.62,319-19,11410,4
"19,400",2002,2018,32.8,ºÏ°¡ÁÂµ¿,±Íºó½¦¸£ºô,6,15,62.22,3-68,11410,4
"41,500",1982,2018,58.95,ºÏ°¡ÁÂµ¿,¹®È­¸Ç¼Ç(Bµ¿),6,16,68.68,370-4,11410,1
"26,300",2008,2018,50.06,ºÏ°¡ÁÂµ¿,¿ìÃ¢¿¡¹öºô,6,18,78.28,3-65,11410,2
"22,300",2013,2018,27.03,ºÏ°¡ÁÂµ¿,¹Ì¼º¿¡¹öºô,6,19,45.8,5-209,11410,4
"36,000",1982,2018,51.77,ºÏ°¡ÁÂµ¿,½ÅÃÌ(Aµ¿),6,19,67.93,370-8,11410,3
"20,450",2016,2018,19.57,ºÏ°¡ÁÂµ¿,»óÀÏ¾ÆÆ®ºô(5-124),6,20,28.74,5-124,11410,4
"28,500",2017,2018,41,ºÏ°¡ÁÂµ¿,Çö´ë·º½ººô(339-10),6,22,57.68,339-10,11410,2
"42,000",2003,2018,34.75,ºÏ°¡ÁÂµ¿,½Å¾È¿ùµå(350-20),6,23,83.96,350-20,11410,5
"13,000",1986,2018,20,ºÏ°¡ÁÂµ¿,¸íÁöºô¶ó,6,24,34.92,342-16,11410,3
"8,400",1992,2018,20.04,ºÏ°¡ÁÂµ¿,(322-2),6,25,40.95,322-2,11410,-1
"23,500",1981,2018,89.3,ºÏ°¡ÁÂµ¿,Áø¼º,6,29,85.75,3-204,11410,1
"10,500",1993,2018,26.45,³²°¡ÁÂµ¿,(5-252),6,4,40.73,5-252,11410,3
"14,000",2001,2018,25.6,³²°¡ÁÂµ¿,ÈñÁ¤,6,7,52.68,5-218,11410,1
"50,250",2002,2018,27.45,ÃæÁ¤·Î3°¡,µÎ¿ÀÁÖÅÃ,7,6,45,3-85,11410,2
"41,772",1989,2018,22.5,ÃæÁ¤·Î3°¡,(32-27),7,13,39.76,32-27,11410,-1
"45,200",1989,2018,29.66,ÃæÁ¤·Î3°¡,(32-51),7,25,39.22,32-51,11410,-1
"45,500",2001,2018,12.95,ÃæÁ¤·Î3°¡,(3-20),7,30,28.94,3-20,11410,3
"60,000",2002,2018,27.18,ÃæÁ¤·Î3°¡,¿¤Áöºô¸®Áö,7,31,73.6,3-90,11410,2
"41,000",2003,2018,34.45,ÇÕµ¿,Á¤È£»þÀÎºô¥±,7,14,65.91,31-23,11410,1
"37,200",2004,2018,50.77,¿ÁÃµµ¿,(126-101),7,15,83.96,126-101,11410,4
"40,000",2015,2018,41.98,ºÏ¾ÆÇöµ¿,ÀÌÈ­³ëºí·¹½º,7,2,53.49,1-625,11410,2
"53,400",2007,2018,29.42,ºÏ¾ÆÇöµ¿,»ó¿øºô-3,7,7,52.99,1-72,11410,2
"49,500",1975,2018,40.9,ºÏ¾ÆÇöµ¿,(113-13),7,12,49.49,113-13,11410,1
"50,100",2007,2018,26.3011,ºÏ¾ÆÇöµ¿,(1-86),7,14,46.23,1-86,11410,5
"64,550",1999,2018,26.62,ºÏ¾ÆÇöµ¿,(129-75),7,15,60.21,129-75,11410,7
"58,950",2002,2018,37.5,ºÏ¾ÆÇöµ¿,½Ã¿Âºô¸®Áö,7,18,70.68,1-434,11410,4
"58,750",1991,2018,27.17,ºÏ¾ÆÇöµ¿,(115-35),7,20,56.88,115-35,11410,3
"85,000",1994,2018,98.14,ºÏ¾ÆÇöµ¿,(1-340),7,22,155.79,1-340,11410,1
"60,000",1994,2018,97.34,ºÏ¾ÆÇöµ¿,(1-340),7,22,149.89,1-340,11410,2
"130,000",1994,2018,118.52,ºÏ¾ÆÇöµ¿,(1-340),7,22,191.58,1-340,11410,3
"54,000",1993,2018,33,ºÏ¾ÆÇöµ¿,(601-0),7,24,57.36,601,11410,2
"59,800",1995,2018,33.79,ºÏ¾ÆÇöµ¿,µ¿¾Æ¾ÆÆ®¸Ç¼Ç,7,25,76.4,1-93,11410,4
"42,050",1979,2018,34.88,ºÏ¾ÆÇöµ¿,(113-48),7,26,66.45,113-48,11410,1
"53,500",2001,2018,34.8,ºÏ¾ÆÇöµ¿,(2-14),7,28,56.49,2-14,11410,2
"55,150",1991,2018,34.17,ºÏ¾ÆÇöµ¿,ºÏ¾ÆÇöºô¶ó1-45,7,28,66.33,1-45,11410,-1
"52,800",1994,2018,34.94,ºÏ¾ÆÇöµ¿,Çö´ëÈÑ¹Ì¸®ºô¶ó,7,28,61.2,1-657,11410,4
"16,500",2001,2018,22.95,È«Á¦µ¿,¼­¿ø¾ÆÆ®ºô,7,2,33.54,212,11410,3
"19,000",1995,2018,43.23,È«Á¦µ¿,¼®Ãµºô¶óAµ¿,7,3,84.02,122-20,11410,-1
"25,000",1986,2018,72.67,È«Á¦µ¿,(360-126),7,4,96.38,360-126,11410,2
"19,900",2018,2018,18.0916,È«Á¦µ¿,´õ¼¼¿µ,7,6,29.73,260-27,11410,7
"28,200",2012,2018,36.67,È«Á¦µ¿,¸¸¹ÎÇÏ´Ã¾Ö(353-2),7,7,59.83,353-2,11410,3
"18,400",1995,2018,31.74,È«Á¦µ¿,Çö´ëºô¶ó(157-7),7,7,60.33,157-7,11410,-1
"22,100",1991,2018,30.33,È«Á¦µ¿,ÇÑ´öºô¶ó,7,7,50.2,266-131,11410,2
"22,000",2013,2018,28.38,È«Á¦µ¿,Çö´ë¾ÆÆ®ºô,7,7,48.19,285-16,11410,3
"20,000",2002,2018,50.04,È«Á¦µ¿,(312-113),7,9,72.51,312-113,11410,3
"23,500",2013,2018,25.15,È«Á¦µ¿,ÀÌ¼öºô¶ó,7,10,64.24,274-117,11410,2
"10,000",1996,2018,13.69,È«Á¦µ¿,¼ºÁøºô¶ó(344-14),7,12,30.66,344-14,11410,2
"24,000",1992,2018,31.74,È«Á¦µ¿,°íÀº±×¸°ºô¶ó,7,19,58.86,318-13,11410,2
"18,000",2002,2018,42.47,È«Á¦µ¿,(312-113),7,19,61.54,312-113,11410,4
"35,906",1988,2018,34,È«Á¦µ¿,(238-8),7,24,34.18,238-8,11410,-1
"22,500",2011,2018,32.17,È«Á¦µ¿,°æ³²¶óÀÌÆ®ºô,7,24,57.57,344-11,11410,2
"26,500",2004,2018,23.77,Ã¢Ãµµ¿,Àå¼º½¦¸£ºô,7,18,45.83,298,11410,2
"13,500",1982,2018,23.16,Ã¢Ãµµ¿,(4-119),7,27,45.62,4-119,11410,1
"12,000",1986,2018,19.32,¿¬Èñµ¿,(520-39),7,3,34.605,520-39,11410,2
"24,000",2002,2018,28.46,¿¬Èñµ¿,¿ì½Åºô¶ó,7,4,58.5,537-11,11410,4
"14,600",1986,2018,36.05,¿¬Èñµ¿,(727-3),7,5,41.6,727-3,11410,1
"16,500",2000,2018,24.75,¿¬Èñµ¿,(520-77),7,7,45.38,520-77,11410,3
"15,500",1991,2018,42.41,¿¬Èñµ¿,»ï¼º¿¬Èñ±Ãºô¶ó,7,11,58.28,344-28,11410,-1
"14,500",1996,2018,23.82,¿¬Èñµ¿,¿ì¼ººô¶ó,7,16,59.77,537-25,11410,4
"11,000",2000,2018,15.36,¿¬Èñµ¿,¿¬Èñºô¶ó,7,17,39.51,541-44,11410,2
"21,000",1994,2018,27.03,¿¬Èñµ¿,(334-85),7,18,57.9,334-85,11410,4
"31,500",2002,2018,31.21,¿¬Èñµ¿,»ï¼º¾ÆÆ®ºô,7,23,66.65,93-6,11410,1
"21,000",2002,2018,26.8,¿¬Èñµ¿,¿ì½Åºô¶ó,7,24,55.12,537-11,11410,5
"35,000",1980,2018,40.34,¿¬Èñµ¿,¼¼Á¾¿¬¸³,7,25,59.17,727-5,11410,1
"9,900",1995,2018,16,¿¬Èñµ¿,½Å¼¼´ëÇÏÀÌºô,7,26,22.8,446-282,11410,2
"30,500",1990,2018,33.257,¿¬Èñµ¿,(193-21),7,28,59.28,193-21,11410,1
"37,500",2002,2018,72.26,È«Àºµ¿,±Ý¼ÛÈú½ººô,7,2,84.29,458,11410,4
"7,300",1993,2018,12.38,È«Àºµ¿,Çö´ë¾ÆÆ®ºô¶ó,7,3,28.32,265-230,11410,3
"22,000",2004,2018,30.47,È«Àºµ¿,´ö¾ç¾ÆÆ®ºô,7,4,51.88,407-16,11410,2
"33,000",1996,2018,51,È«Àºµ¿,½ºÀ§½ºÇö´ëºô¶óÆ®,7,5,132.17,189-5,11410,3
"12,500",1991,2018,23.15,È«Àºµ¿,Á¶Àººô¶ó(11-337),7,5,36.88,11-337,11410,2
"24,500",1986,2018,42,È«Àºµ¿,(338-84),7,6,60.21,338-84,11410,-1
"9,700",1994,2018,21.91,È«Àºµ¿,°æÈ¯±×¸°ºô¶ó,7,10,44.85,191-12,11410,1
"18,900",1992,2018,17.31,È«Àºµ¿,¹«Áö°³,7,10,32.85,338-73,11410,1
"14,650",1996,2018,31.07,È«Àºµ¿,¼ºÀººô¶ó,7,13,62.54,11-256,11410,-1
"15,700",2004,2018,23.34,È«Àºµ¿,´ö¾ç¾ÆÆ®ºô,7,13,39.72,407-16,11410,3
"20,000",1987,2018,62.79,È«Àºµ¿,±ÝÈ£,7,13,54.6,355,11410,3
"17,500",1992,2018,29.7,È«Àºµ¿,¼ö¼ººô¶ó,7,16,59.1,11-819,11410,1
"20,100",1994,2018,51.4,È«Àºµ¿,´ëÁøÇÏÀÌÃ÷ºô¶ó(Cµ¿),7,16,70.2,7,11410,2
"15,300",1995,2018,31.48,È«Àºµ¿,µ¿¿øºô¶ó,7,17,66.06,265-84,11410,2
"28,000",2003,2018,43.63,È«Àºµ¿,½ÅÇÑ¿ùµåºô,7,18,79.02,413-17,11410,2
"11,150",1994,2018,16.45,È«Àºµ¿,È«Àº±îÄ¡ºô¶ó,7,19,36.51,11-496,11410,1
"14,300",1997,2018,33.16,È«Àºµ¿,(204-3),7,21,44.28,204-3,11410,1
"17,500",1991,2018,24.87,È«Àºµ¿,ÅÂ¼ººô¶ó,7,26,45.15,11-410,11410,3
"30,600",2009,2018,30.98,È«Àºµ¿,ÃµÁöÀÎ(Æç¸®Ã¼),7,26,68.94,164,11410,6
"17,900",1985,2018,52.73,È«Àºµ¿,»ï¼ººô¶ó,7,28,62.01,188-29,11410,1
"32,000",2016,2018,13.62,È«Àºµ¿,Ã»¾ÈÆÄÀÎ,7,30,42,274-52,11410,7
"30,000",2018,2018,37.35,È«Àºµ¿,ÀÌ·çºô,7,30,59.6,405-18,11410,4
"30,000",2018,2018,37.35,È«Àºµ¿,ÀÌ·çºô,7,30,59.6,405-18,11410,4
"24,600",2018,2018,29.98,È«Àºµ¿,ÀÌ·çºô,7,30,47.84,405-18,11410,5
"26,700",2018,2018,33.08,È«Àºµ¿,ÀÌ·çºô,7,30,52.76,405-18,11410,5
"25,100",2018,2018,29.07,È«Àºµ¿,ÀÌ·çºô,7,30,46.39,405-18,11410,2
"23,350",2018,2018,26.73,È«Àºµ¿,ÀÌ·çºô,7,30,42.66,405-18,11410,2
"25,200",2018,2018,29.22,È«Àºµ¿,ÀÌ·çºô,7,30,46.63,405-18,11410,2
"25,100",2018,2018,29.07,È«Àºµ¿,ÀÌ·çºô,7,30,46.39,405-18,11410,3
"23,350",2018,2018,26.73,È«Àºµ¿,ÀÌ·çºô,7,30,42.66,405-18,11410,3
"25,200",2018,2018,29.22,È«Àºµ¿,ÀÌ·çºô,7,30,46.63,405-18,11410,3
"17,000",2010,2018,23.5,È«Àºµ¿,»ùÅÍºô,7,30,50.94,274-64,11410,5
"10,800",1991,2018,24.77,È«Àºµ¿,¼Û°­,7,30,45.62,400-27,11410,-1
"39,500",2002,2018,72.26,È«Àºµ¿,±Ý¼ÛÈú½ººô,7,30,84.29,458,11410,3
"22,400",2014,2018,24.12,ºÏ°¡ÁÂµ¿,ÀÏ¿øºô¸®Áö,7,2,40.35,347-39,11410,3
"18,800",2002,2018,24.31,ºÏ°¡ÁÂµ¿,´ë¼ººô¶ó,7,2,51.78,288-2,11410,3
"33,000",1989,2018,42.61,ºÏ°¡ÁÂµ¿,È«ÀÏÇÏÀÌÃ÷ºô(Aµ¿),7,3,44.08,348-20,11410,2
"18,000",2014,2018,26.32,ºÏ°¡ÁÂµ¿,¹Ì´Ù½ººô,7,3,45.42,286-34,11410,2
"27,000",2002,2018,20.05,ºÏ°¡ÁÂµ¿,ÇÑ¾çºô¶ó(348-18),7,7,51.6,348-18,11410,4
"25,800",1991,2018,27.47,ºÏ°¡ÁÂµ¿,ÇÑÀÏ¾ÆÆ®ºô¶ó,7,7,51.15,366-25,11410,1
"14,000",1993,2018,20.02,ºÏ°¡ÁÂµ¿,»ó½Åºô¶ó,7,9,46.98,295-23,11410,3
"27,800",2016,2018,22.39,ºÏ°¡ÁÂµ¿,"¹Ì´Ù½ºA,Bµ¿(392-5)",7,10,44.69,392-5,11410,6
"22,000",1989,2018,36.39,ºÏ°¡ÁÂµ¿,È«ÀÏÇÏÀÌÃ÷ºô(Aµ¿),7,11,38.02,348-20,11410,3
"34,500",2003,2018,37.37,ºÏ°¡ÁÂµ¿,ÇÑ¾Æ¸§ºô¶ó(302-23),7,12,63.96,302-23,11410,1
"12,000",1993,2018,17.21,ºÏ°¡ÁÂµ¿,(342-7),7,13,36.9,342-7,11410,2
"24,000",2014,2018,26.29,ºÏ°¡ÁÂµ¿,½Å¿ì¿¡ÄÚ¹ë¸®,7,13,39.93,310-11,11410,3
"23,500",2013,2018,26.79,ºÏ°¡ÁÂµ¿,¼öÁ¤ÇÏÀÌºô,7,14,44.18,346-9,11410,2
"29,900",2002,2018,25.73,ºÏ°¡ÁÂµ¿,µå¸²¾ÆÆ®ºô(80-119),7,14,55.35,80-119,11410,3
"38,500",2003,2018,33.82,ºÏ°¡ÁÂµ¿,´ëÁßºô¶ó,7,16,66.36,373-7,11410,4
"23,300",2002,2018,34.63,ºÏ°¡ÁÂµ¿,µ¿½ÅÁÖÅÃ,7,16,70.76,308-14,11410,3
"41,000",1982,2018,55.12,ºÏ°¡ÁÂµ¿,ÇÕµ¿¸Ç¼Ç,7,16,63.36,370-5,11410,3
"20,500",2002,2018,27.34,ºÏ°¡ÁÂµ¿,Ãæ¿ìºô¶ó22Â÷,7,17,57.42,321-5,11410,3
"17,900",2001,2018,18.52,ºÏ°¡ÁÂµ¿,Çõ¼ö¸Ç¼Ç,7,18,43.38,347-3,11410,3
"27,300",2013,2018,28.93,ºÏ°¡ÁÂµ¿,´ë¿ø¾ÆÆ®ºô6,7,18,48.73,336-30,11410,3
"28,500",1986,2018,27.35,ºÏ°¡ÁÂµ¿,±â¸°ºô¶ó(³ªµ¿),7,18,40.86,376-31,11410,2
"30,000",1991,2018,26.38,ºÏ°¡ÁÂµ¿,ÇÑÀÏ¾ÆÆ®ºô¶ó,7,19,49.12,366-25,11410,3
"43,000",2002,2018,50.22,ºÏ°¡ÁÂµ¿,¼±Áøºô¶ó,7,20,75.04,369-18,11410,5
"27,000",1994,2018,21.38,ºÏ°¡ÁÂµ¿,¿ìÁ¤ºô¶ó,7,20,48.03,379-27,11410,2
"36,500",2002,2018,40.55,ºÏ°¡ÁÂµ¿,Çª¸¥ÁÖÅÃ,7,21,58.74,74-218,11410,4
"27,300",1986,2018,23.1,ºÏ°¡ÁÂµ¿,(349-17),7,24,33.66,349-17,11410,1
"9,500",2002,2018,18.56,ºÏ°¡ÁÂµ¿,°ñµçÇÏÀÌÃ÷ºô¶óA,7,24,43.52,347-23,11410,-1
"23,500",2017,2018,18.42,ºÏ°¡ÁÂµ¿,´ë¿µ¾ÆÆ®ºô,7,25,29.95,312-20,11410,2
"21,000",2002,2018,38.79,ºÏ°¡ÁÂµ¿,ÅÂÀÎ±×·¹ÀÌ½ººô,7,26,75.3,3-26,11410,3
"16,550",2002,2018,17.4,ºÏ°¡ÁÂµ¿,´Ù¼Øºô¶ó,7,27,39.54,327-5,11410,4
"12,800",1997,2018,17.1,ºÏ°¡ÁÂµ¿,(344-18),7,28,30.72,344-18,11410,2
"34,400",2002,2018,41.19,ºÏ°¡ÁÂµ¿,Çª¸¥ÁÖÅÃ,7,28,59.67,74-218,11410,2
"4,800",2003,2018,9.46,ºÏ°¡ÁÂµ¿,¹«ºêºô,7,28,15.5,329-20,11410,2
"22,000",2002,2018,21.74,ºÏ°¡ÁÂµ¿,¼¼¹æÆÄ½ººô,7,28,44.59,285-6,11410,4
"20,000",2008,2018,28.71,ºÏ°¡ÁÂµ¿,µ¿È­ºô¶ó2Â÷,7,30,51.11,3-106,11410,2
"35,000",2003,2018,27.05,ºÏ°¡ÁÂµ¿,Á¤¹æ¾ÆÆ®ºô¿¡ÀÌµ¿,7,31,57.38,383-2,11410,3
"17,900",2015,2018,25.14,ºÏ°¡ÁÂµ¿,Áø¼º¾ÆÆ®ºô(3-127),7,31,41.25,3-127,11410,2
"14,300",2007,2018,25.5,³²°¡ÁÂµ¿,¿¡ÄÚºô,7,10,41.49,5-332,11410,4
"29,300",2018,2018,13.68,³²°¡ÁÂµ¿,´õ-¾Æ¹«¸£,7,24,29.91,382-9,11410,2
"26,500",2011,2018,20.02,ÃæÁ¤·Î2°¡,°Ç¿ìÁÖÅÃ,8,27,39.9,78-3,11410,6
"80,500",1984,2018,141.386,ÃæÁ¤·Î3°¡,µ¿º¸ºô¶ó,8,7,143.57,8-1,11410,2
"59,900",2003,2018,32.65,ÃæÁ¤·Î3°¡,³ëº§¾ÆÆ®ºô,8,11,56.336,3-10,11410,2
"50,000",2002,2018,27.18,ÃæÁ¤·Î3°¡,¿¤Áöºô¸®Áö,8,13,73.6,3-90,11410,3
"60,000",2001,2018,37.05,ÃæÁ¤·Î3°¡,ÃæÁ¤·ÎÁÖÅÃ,8,20,59.45,3-38,11410,2
"67,400",1996,2018,59.5,ÃæÁ¤·Î3°¡,º¸±¤,8,22,78.69,3-185,11410,2
"48,000",1986,2018,32.12,ÃæÁ¤·Î3°¡,(3-39),8,25,38.88,3-39,11410,-1
"74,550",2003,2018,41.63,ÃæÁ¤·Î3°¡,³ëº§¾ÆÆ®ºô,8,31,71.838,3-10,11410,4
"60,000",1965,2018,38.98,ÃæÁ¤·Î3°¡,(31-81),8,31,27,31-81,11410,1
"13,000",1995,2018,23.71,Ãµ¿¬µ¿,(120-39),8,17,36.12,120-39,11410,2
"7,000",1995,2018,10.2,Ãµ¿¬µ¿,(120-39),8,17,15.54,120-39,11410,2
"45,500",1991,2018,57.24,ºÏ¾ÆÇöµ¿,Á¤¸²ÆÄÅ©,8,1,89.91,1-327,11410,2
