°ÇÃà³âµµ,³â,¹ýÁ¤µ¿,º¸Áõ±Ý¾×,¿¬¸³´Ù¼¼´ë,¿ù,¿ù¼¼±Ý¾×,ÀÏ,Àü¿ë¸éÀû,Áö¹ø,Áö¿ªÄÚµå,Ãþ
1987,2015,È«Àºµ¿,"4,500",(8-519),1,0,19,35.37,8-519,11410,1
1992,2015,È«Àºµ¿,"5,000",ÇØ¼º±×¸°ºô¶ó,1,0,19,34.11,412-26,11410,3
2014,2015,È«Àºµ¿,500,(421-12),1,50,20,19.69,421-12,11410,3
1980,2015,È«Àºµ¿,"1,000",(265-386),1,40,21,53.22,265-386,11410,2
2002,2015,È«Àºµ¿,"1,000",ÇÑ¼º¾ÆÆ®ºô,1,45,22,27.15,403-15,11410,2
2014,2015,È«Àºµ¿,"17,000",»þ¸£¸Á¸ÞÁ¾,1,0,22,38.36,397-33,11410,6
1980,2015,È«Àºµ¿,"8,000",(265-386),1,0,23,56.53,265-386,11410,1
1991,2015,È«Àºµ¿,"7,000","Ã»±¸±×¸°ºô¶ó(A,Bµ¿)",1,0,23,53.6,10-233,11410,2
2009,2015,È«Àºµ¿,"13,000",È«Àº»õ´ãºô,1,0,23,70.49,188-74,11410,2
1991,2015,È«Àºµ¿,"9,000","ÃÊ¿øºô¶ó(8-35 °¡,³ªµ¿)",1,0,23,58.68,8-35,11410,2
2014,2015,È«Àºµ¿,500,(421-12),1,45,24,17.49,421-12,11410,3
2003,2015,È«Àºµ¿,"9,500",»ï¼º±×¸°ºô(´Ùµ¿),1,0,25,62.4,265-133,11410,4
1991,2015,È«Àºµ¿,"3,000",Çö´ëºô¶ó,1,30,29,41.39,265-200,11410,4
2003,2015,È«Àºµ¿,"14,500",°­¸²½ºÀ§Æ®ºô(Bµ¿),1,0,29,84.77,195-29,11410,3
1983,2015,È«Àºµ¿,500,¸íÁö(354),1,65,31,77.66,354,11410,2
2013,2015,È«Àºµ¿,"10,000",¹Ý¼®ºô,1,0,31,32.63,415-72,11410,3
2013,2015,ºÏ°¡ÁÂµ¿,"21,000",Ä«¸®½º±Û·Î¸®¾Æ,1,0,2,45.085,336-1,11410,5
2002,2015,ºÏ°¡ÁÂµ¿,"11,000",¸íÁöºô¶óÆ®,1,0,2,33.6,325-4,11410,5
2008,2015,ºÏ°¡ÁÂµ¿,"13,000",È­ÀÎºô¸®Áö,1,0,3,52.26,280-2,11410,2
1983,2015,ºÏ°¡ÁÂµ¿,"18,000",Çö´ëºô¶ó(³ªµ¿(5-129)),1,0,3,113.12,5-129,11410,3
2003,2015,ºÏ°¡ÁÂµ¿,"10,000",¾ÆÁÖÇÏÀÌºô,1,0,3,72.41,325-35,11410,3
2002,2015,ºÏ°¡ÁÂµ¿,"18,000",ÃÊ¿øºô¶ó(B),1,0,6,63.56,350-27,11410,4
2002,2015,ºÏ°¡ÁÂµ¿,"7,000",ÆÄÀÎºô,1,0,7,54.14,3-52,11410,4
2002,2015,ºÏ°¡ÁÂµ¿,"2,000",µå¸²¾ÆÆ®ºô(80-119),1,25,8,29.82,80-119,11410,4
1993,2015,ºÏ°¡ÁÂµ¿,"2,000",¹é¿îºô¶ó,1,55,8,47.55,380-3,11410,4
2014,2015,ºÏ°¡ÁÂµ¿,"3,000",¼ö¼º·º½ººô(318-3),1,60,8,34.68,318-3,11410,5
2007,2015,ºÏ°¡ÁÂµ¿,"10,500",¼¼Á¾ºô¸®Áö2Â÷(3-109),1,0,8,42.84,3-109,11410,2
1994,2015,ºÏ°¡ÁÂµ¿,"10,000",´ë°æºô¶ó,1,0,10,37.48,5-211,11410,3
2002,2015,ºÏ°¡ÁÂµ¿,"14,000",³ª¼ººô¶ó,1,0,10,58.4,308-9,11410,5
2006,2015,ºÏ°¡ÁÂµ¿,"14,000",¹Ì°Çº§¶ó½º,1,0,10,47.6,274-16,11410,5
2001,2015,ºÏ°¡ÁÂµ¿,"10,500",Ãæ¿ì(316-15),1,0,11,47.84,316-15,11410,2
2006,2015,ºÏ°¡ÁÂµ¿,"7,000",LGÅ¸¿î(345-44),1,30,12,48.5,345-44,11410,2
1990,2015,ºÏ°¡ÁÂµ¿,"3,000",(6-6),1,0,12,33,6-6,11410,
2002,2015,ºÏ°¡ÁÂµ¿,"8,500",µ¿¹®ÆÄÅ©ºô(A),1,0,12,60.54,290-20,11410,
2002,2015,ºÏ°¡ÁÂµ¿,"13,000",Á¤¿øÇÏÀÌÃ÷ºô,1,0,13,56.95,5-132,11410,1
2002,2015,ºÏ°¡ÁÂµ¿,"18,000",´º¿ùµåºô(373-6),1,0,13,77.01,373-6,11410,2
2012,2015,ºÏ°¡ÁÂµ¿,"7,000",´ÙÀÎÇÏ¿ì½º(328-14),1,0,14,17.44,328-14,11410,2
1992,2015,ºÏ°¡ÁÂµ¿,"13,000",ÀÏÁÖºô¶ó,1,0,14,56.38,350-24,11410,1
2013,2015,ºÏ°¡ÁÂµ¿,"7,000",Áø¼º¾ÆÆ®ºô,1,0,14,26.79,340-32,11410,2
2002,2015,ºÏ°¡ÁÂµ¿,"10,000",µå¸²¾ÆÆ®ºô(80-119),1,0,17,51.75,80-119,11410,3
2006,2015,ºÏ°¡ÁÂµ¿,"1,000",(307-26),1,55,20,39.87,307-26,11410,5
2002,2015,ºÏ°¡ÁÂµ¿,"11,000",ºÎ±¤¾ÆÆ®ºô,1,0,20,51.55,373-12,11410,1
1992,2015,ºÏ°¡ÁÂµ¿,300,¹é»êÁÖÅÃ,1,45,21,42.86,311-28,11410,1
2003,2015,ºÏ°¡ÁÂµ¿,"13,000",Á¤¿øºô¶óDµ¿,1,0,23,55.42,5-188,11410,2
2011,2015,ºÏ°¡ÁÂµ¿,"17,000",°æ¼ºÇÏÀÌºô(328-37),1,0,23,47.79,328-37,11410,3
2002,2015,ºÏ°¡ÁÂµ¿,"15,000",¼ÛÇÐºô¶óB,1,0,23,62.72,3-242,11410,2
2003,2015,ºÏ°¡ÁÂµ¿,"16,500",¿¹¿øºô¶ó(312-2),1,0,24,58.69,312-2,11410,1
2012,2015,ºÏ°¡ÁÂµ¿,"3,000",´ÙÀÎÇÏ¿ì½º(328-14),1,34,26,14.62,328-14,11410,2
1982,2015,ºÏ°¡ÁÂµ¿,"13,000",¹®È­¸Ç¼Ç(Bµ¿),1,0,28,68.68,370-4,11410,3
2014,2015,ºÏ°¡ÁÂµ¿,"10,000",¹Ì¼ÒÁö¿òºô(279-25),1,0,28,21,279-25,11410,4
2004,2015,ºÏ°¡ÁÂµ¿,"15,000",¼¼ÀÎÆ®ºô,1,0,29,65.97,385-15,11410,1
1986,2015,ºÏ°¡ÁÂµ¿,"2,000",¿¬Èñºô¶ó(3-46),1,20,29,38.58,3-46,11410,
1991,2015,ºÏ°¡ÁÂµ¿,"16,000",Á¤¿ìÅ¸¿î,1,0,30,75.23,350-1,11410,2
1992,2015,³²°¡ÁÂµ¿,"2,000",(5-132),1,25,7,32.68,5-132,11410,1
2012,2015,³²°¡ÁÂµ¿,500,¸íÁöÇÏ¿ì½º,1,45,10,13.08,341-17,11410,2
1999,2015,³²°¡ÁÂµ¿,500,Çö¿ìºô¶ó,1,55,10,45.45,64-18,11410,1
2002,2015,³²°¡ÁÂµ¿,"12,500",µ¿»êºô¶ó,1,0,11,48.3,331-13,11410,3
2013,2015,³²°¡ÁÂµ¿,"1,000",¸íÁöÇÏ¿ì½º(324-28),1,40,11,13.34,324-28,11410,3
2012,2015,³²°¡ÁÂµ¿,"1,000",¼öÇö¿ø·ë,1,35,13,15.06,329-20,11410,3
1979,2015,³²°¡ÁÂµ¿,"8,500",(9-54),1,0,13,79.67,9-54,11410,2
2012,2015,³²°¡ÁÂµ¿,"12,000",¹Ð·¹´Ï¾ö,1,0,13,20.7,329-19,11410,5
1985,2015,³²°¡ÁÂµ¿,500,(8-19),1,30,18,37.22,8-19,11410,
2014,2015,³²°¡ÁÂµ¿,"1,982",¼­µµÈÞºô,1,11,18,29.99,5-66,11410,2
2012,2015,³²°¡ÁÂµ¿,"2,000",¼öÇö¿ø·ë,1,25,20,15.06,329-20,11410,2
2012,2015,³²°¡ÁÂµ¿,300,ÇÏ´Ãµå¸®¿ò,1,40,30,14.58,343-45,11410,3
2012,2015,ÃæÁ¤·Î3°¡,"1,000",¸íÇÐÇÏ¿ì½º,2,55,6,14.84,117,11410,2
2002,2015,ÃæÁ¤·Î3°¡,"3,000",(3-306),2,60,9,51.01,3-306,11410,3
2001,2015,ÃæÁ¤·Î3°¡,"1,000",ÃæÁ¤·ÎÁÖÅÃ,2,40,14,59.88,3-38,11410,1
2001,2015,ÃæÁ¤·Î3°¡,"12,000",(3-20),2,5,16,28.94,3-20,11410,2
1996,2015,ÃæÁ¤·Î3°¡,"23,000",(3-1),2,0,28,88.67,3-1,11410,4
2011,2015,Ãµ¿¬µ¿,"3,500",(120-113),2,55,10,29.19,120-113,11410,3
2009,2015,Ãµ¿¬µ¿,"3,000",Áö¼º,2,50,26,83.08,90-23,11410,4
2004,2015,ºÏ¾ÆÇöµ¿,"13,500",(1-109),2,0,2,49.89,1-109,11410,1
1990,2015,ºÏ¾ÆÇöµ¿,500,(123-47),2,30,3,52.8,123-47,11410,
1992,2015,ºÏ¾ÆÇöµ¿,"1,500",(1-1764) °¡µ¿,2,65,7,53.11,1-1764,11410,1
2013,2015,ºÏ¾ÆÇöµ¿,"10,000",»ê¾Æ·¡,2,63,9,46.3,1-383,11410,3
1998,2015,ºÏ¾ÆÇöµ¿,"28,000",¾Æ¸²ºô¶ó,2,0,10,120.32,123-67,11410,4
2001,2015,ºÏ¾ÆÇöµ¿,"20,000",Áø¿µ½¦¸£ºô,2,0,10,74.83,1-267,11410,2
2001,2015,ºÏ¾ÆÇöµ¿,"21,000",ÁøÈïºô5Â÷,2,0,13,74.09,1-25,11410,3
2003,2015,ºÏ¾ÆÇöµ¿,"2,000",¹Ì°¡ºô,2,60,14,29.11,1-111,11410,2
1994,2015,ºÏ¾ÆÇöµ¿,"25,000",Çö´ëºô¸®Áö,2,0,14,131.11,1-56,11410,4
1998,2015,ºÏ¾ÆÇöµ¿,"18,000",¾Æ¸²ºô¶ó,2,0,16,70.24,123-67,11410,2
2002,2015,ºÏ¾ÆÇöµ¿,"13,000",(1-479),2,0,16,55.5,1-479,11410,3
1995,2015,ºÏ¾ÆÇöµ¿,"3,000",(3-278),2,10,22,38.19,3-278,11410,2
2007,2015,ºÏ¾ÆÇöµ¿,"15,000",(1-86),2,0,24,53.88,1-86,11410,3
1993,2015,ºÏ¾ÆÇöµ¿,"11,000",(601-0),2,0,24,50.34,601,11410,2
1998,2015,ºÏ¾ÆÇöµ¿,"14,000",(1-85),2,0,25,59.22,1-85,11410,2
1994,2015,ºÏ¾ÆÇöµ¿,"8,000",Ã»³ªºô¸®Áö,2,30,28,55.65,1-499,11410,3
1997,2015,È«Á¦µ¿,"1,500",(267-86),2,17,1,74.75,267-86,11410,
1987,2015,È«Á¦µ¿,"9,000",±Ý°­ºô¶ó,2,0,1,39.06,9-75,11410,3
2001,2015,È«Á¦µ¿,"16,400",µ¿¾çÁÖÅÃ,2,0,2,54.28,223-12,11410,2
1997,2015,È«Á¦µ¿,"12,000",»ï¼º¸Ç¼Ç,2,0,2,49.8,312-76,11410,2
2013,2015,È«Á¦µ¿,"1,000",·ÎÁîÇÏ¿ì½º,2,40,3,15.41,287-113,11410,3
2001,2015,È«Á¦µ¿,"13,000",ÄÚ¾Æºô¶óÆ®Bµ¿,2,20,4,48.72,136-30,11410,4
2011,2015,È«Á¦µ¿,"13,000",ºê·¹¶óÇÏ¿ì½º,2,0,4,24.93,156-484,11410,3
1997,2015,È«Á¦µ¿,"11,700",¿¬¾Èºô¶óÆ®,2,0,5,55.16,312-77,11410,2
2011,2015,È«Á¦µ¿,"13,000",ÅÂÇöºô¶ó,2,0,6,40.06,360-77,11410,1
2012,2015,È«Á¦µ¿,500,ÁØÇÏ¿ì½º(139-16),2,52,7,13.95,139-16,11410,2
1994,2015,È«Á¦µ¿,"5,000",ÀÌÈ­ÁÖÅÃ,2,0,8,30.93,122-43,11410,1
1997,2015,È«Á¦µ¿,"3,000",´ëÈïÁÖÅÃ,2,60,11,58.97,266-21,11410,3
1998,2015,È«Á¦µ¿,"3,000",ÀÎ¿Õºô¶óÆ®,2,20,11,54.99,28-25,11410,
1999,2015,È«Á¦µ¿,"12,000",½ÅÈïºô¶ó(334-42),2,0,12,48.59,334-42,11410,3
2013,2015,È«Á¦µ¿,"1,000",(253-9),2,45,14,13.92,253-9,11410,2
2002,2015,È«Á¦µ¿,"21,000",µå¸²ÇÏÀÌÃ÷ºô,2,0,14,81.11,270-74,11410,2
2013,2015,È«Á¦µ¿,"3,000",½á´ÏÈú½º,2,30,16,17.32,266-99,11410,3
2013,2015,È«Á¦µ¿,"5,000",½á´ÏÈú½º,2,37,16,24.03,266-99,11410,5
1979,2015,È«Á¦µ¿,"8,000",(356-84),2,0,16,57.19,356-84,11410,2
1992,2015,È«Á¦µ¿,"8,500",È¿¸²ÁÖÅÃ,2,0,17,41.61,312-73,11410,2
1991,2015,È«Á¦µ¿,"6,000",È«±¤ºô¶ó,2,0,20,50.31,312-24,11410,1
1991,2015,È«Á¦µ¿,"3,000",È«Á¦¾ÈÁý,2,25,23,66.69,156-55,11410,2
1991,2015,È«Á¦µ¿,"7,000",(287-75),2,0,24,36.93,287-75,11410,2
2003,2015,È«Á¦µ¿,"10,000",¿ÀÅ©ºô,2,0,25,34.52,312-19,11410,5
2003,2015,È«Á¦µ¿,"25,000",(460-2),2,0,26,103.04,460-2,11410,6
2003,2015,È«Á¦µ¿,"3,000",(191-1),2,40,26,42.69,191-1,11410,4
2012,2015,È«Á¦µ¿,"16,000",-,2,0,26,63.98,312-297,11410,4
1997,2015,È«Á¦µ¿,"9,500",¿µÈ­ºô¶ó,2,0,27,35.63,122-24,11410,3
1987,2015,È«Á¦µ¿,"5,000",¼­°­ºô¶ó2µ¿,2,30,27,48.01,90-6,11410,3
1991,2015,È«Á¦µ¿,"8,000",ÇÑÇùºô¶ó,2,30,27,41.67,157-104,11410,3
1975,2015,È«Á¦µ¿,"11,000",´ë¼º¾ÆÆÄÆ®,2,10,27,48.13,315-41,11410,2
2006,2015,È«Á¦µ¿,"14,000",Ã»´ãºô,2,0,28,50.49,360-78,11410,4
2012,2015,´ëÇöµ¿,"1,000",ÀÌÈ­¶û,2,55,6,15.81,53-33,11410,1
2012,2015,´ëÇöµ¿,"1,000",(53-34),2,65,7,14.88,53-34,11410,1
2012,2015,´ëÇöµ¿,"1,000",°ø°£ÈÞ(62-12),2,60,10,12.53,62-12,11410,3
2012,2015,´ëÇöµ¿,"1,000",ÀÌ´ë¿ª ¸¶¿¡½ºÆ®·Î,2,55,14,12.76,150,11410,4
2012,2015,´ëÇöµ¿,"1,000",ÀÌÈ­¶û,2,60,28,15.81,53-33,11410,2
2003,2015,´ë½Åµ¿,"2,000",È­¸²ºôµù,2,35,1,65.82,124,11410,2
2002,2015,´ë½Åµ¿,"10,000",±×·£µåÈú,2,20,1,45.21,126-2,11410,2
2003,2015,´ë½Åµ¿,"5,500",È­¸²ºôµù,2,0,4,65.82,124,11410,4
2001,2015,´ë½Åµ¿,"1,000",(141-8),2,30,4,20,141-8,11410,
2002,2015,´ë½Åµ¿,"6,000",¼ö¸ñºô,2,40,5,32.17,124-23,11410,1
2002,2015,´ë½Åµ¿,500,¾Æµµºñ ¿¬±¸¿ø,2,45,8,21.53,126-8,11410,4
2012,2015,´ë½Åµ¿,"1,000",(127-13),2,50,8,14.08,127-13,11410,2
2003,2015,´ë½Åµ¿,"3,000",È­¸²ºôµù,2,25,9,65.82,124,11410,4
2002,2015,´ë½Åµ¿,500,(124-13),2,47,11,22.9,124-13,11410,3
2000,2015,´ë½Åµ¿,500,(127-25),2,50,11,21.42,127-25,11410,2
2002,2015,´ë½Åµ¿,"3,000",¼ö¸ñºô,2,50,23,28.72,124-23,11410,3
2002,2015,´ë½Åµ¿,"20,000",¼ö¸ñºô,2,0,24,68.93,124-23,11410,4
2013,2015,Ã¢Ãµµ¿,"1,000",¼®È£ÇÏÀÌºô,2,53,1,14.57,285,11410,3
2003,2015,Ã¢Ãµµ¿,"2,000",¾ÆÅ©·ÎÆú¸®½º,2,38,2,28.05,184,11410,3
2011,2015,Ã¢Ãµµ¿,"1,000",¿ÀÁîºô,2,45,3,14.57,418,11410,2
2003,2015,Ã¢Ãµµ¿,"15,000",¼¼Áøºô¶ó,2,0,3,42.95,282,11410,3
2011,2015,Ã¢Ãµµ¿,"1,500",YonE Studio,2,50,4,12.47,4-115,11410,2
2014,2015,Ã¢Ãµµ¿,"8,000",½ÅÃÌºô¸®Áö,2,0,4,33.93,229,11410,2
2011,2015,Ã¢Ãµµ¿,500,¿ÀÁîºô,2,45,4,12.09,418,11410,2
2013,2015,Ã¢Ãµµ¿,"6,000",(322-0),2,60,6,28.42,322,11410,4
2001,2015,Ã¢Ãµµ¿,"13,000",¿¡µ§ÇÏ¿ì½º,2,0,6,50.36,510-17,11410,2
2011,2015,Ã¢Ãµµ¿,"4,000",(62-18),2,35,6,12.14,62-18,11410,5
2011,2015,Ã¢Ãµµ¿,"1,000",¾ÆÆ®ºô¸®Áö,2,65,7,13.49,370,11410,3
2003,2015,Ã¢Ãµµ¿,"4,000",Æ÷¸Ç½º(ºê¶ó¿îºô),2,40,7,28.53,90-9,11410,2
1983,2015,Ã¢Ãµµ¿,"4,000",(4-121),2,0,8,15.21,4-121,11410,5
2011,2015,Ã¢Ãµµ¿,"3,000",(90-47),2,35,8,12.25,90-47,11410,1
2004,2015,Ã¢Ãµµ¿,"1,000",(339-0),2,60,8,30.12,339,11410,1
2001,2015,Ã¢Ãµµ¿,"6,000",ºí·çÈú,2,0,9,22.97,100-124,11410,2
2003,2015,Ã¢Ãµµ¿,"3,500",½ºÄ«ÀÌºô,2,45,9,26,90-34,11410,3
2014,2015,Ã¢Ãµµ¿,"20,000",½ÅÃÌºô¸®Áö,2,0,10,63.3,229,11410,4
2013,2015,Ã¢Ãµµ¿,"1,000",¼®È£ÇÏÀÌºô,2,55,10,14.57,285,11410,3
2002,2015,Ã¢Ãµµ¿,"3,000",(334-0),2,40,11,27,334,11410,3
2002,2015,Ã¢Ãµµ¿,"1,000",ÇØÇÇºô3Â÷,2,50,11,35.86,99-10,11410,2
2001,2015,Ã¢Ãµµ¿,"6,000",ºí·çÈú,2,0,14,22.58,100-124,11410,1
2011,2015,Ã¢Ãµµ¿,"2,000",(390-0),2,50,14,21.42,390,11410,4
2011,2015,Ã¢Ãµµ¿,"1,000",¾ÆÆ®ºô¸®Áö,2,60,15,13.46,370,11410,3
2013,2015,Ã¢Ãµµ¿,"3,000",±Ý¹Ý¼®½ÃÆ¼ºô7Â÷,2,35,15,12.74,90-27,11410,2
2008,2015,Ã¢Ãµµ¿,"19,000",´ë¼ºÇÏ¿ìÂ¡,2,0,16,47.67,313,11410,3
2003,2015,Ã¢Ãµµ¿,"3,000",½ºÄ«ÀÌºô,2,50,17,26.88,90-34,11410,2
2001,2015,Ã¢Ãµµ¿,"4,000",½Ã¿ÂÇÏ¿ì½º,2,60,19,34.85,382,11410,5
2010,2015,Ã¢Ãµµ¿,"1,000",¹ÌÇö,2,38,21,21.06,13-106,11410,2
2007,2015,Ã¢Ãµµ¿,"12,000",Ã¢ÃµÀ²µµ±¹ÀÎ104µ¿,2,0,23,24.08,232,11410,1
2009,2015,Ã¢Ãµµ¿,"1,000",¾ðÁ¦³ª¹Ì¼Ò,2,50,23,68.51,129,11410,4
1992,2015,Ã¢Ãµµ¿,"17,000",¿¬¼¼ÇÏÀÌÃ÷ºô¸®Áö,2,0,23,107.9,501-20,11410,4
1991,2015,Ã¢Ãµµ¿,"10,000",½ÅÃÌºô¶ó2Â÷,2,0,24,43.04,4-26,11410,3
2013,2015,Ã¢Ãµµ¿,"1,500",±Ý¹Ý¼®½ÃÆ¼ºô7Â÷,2,50,26,12.17,90-27,11410,4
2007,2015,Ã¢Ãµµ¿,"10,000",Ã¢ÃµÀ²µµ±¹ÀÎ103µ¿,2,10,27,25.95,229-1,11410,3
1978,2015,Ã¢Ãµµ¿,"1,000",(90-23),2,48,27,110.75,90-23,11410,1
2013,2015,Ã¢Ãµµ¿,"4,000",Áö¿µÇÏ¿ì½º,2,40,28,26.61,53-81,11410,5
2008,2015,¿¬Èñµ¿,"3,000",(194-22),2,35,1,68.64,194-22,11410,3
1992,2015,¿¬Èñµ¿,"15,000",¿¬ÈñÇÏÀÌÃ÷ºô¶ó,2,0,2,52.5,237-9,11410,1
2008,2015,¿¬Èñµ¿,"15,500",ÅäÃµ,2,0,2,40.2,74-9,11410,5
2011,2015,¿¬Èñµ¿,"1,000",¿øÄ³½½,2,45,2,13.86,344-146,11410,3
1994,2015,¿¬Èñµ¿,"10,000",¿¬ÈñÇö´ëºô¶ó(1µ¿~3µ¿),2,195,2,130.87,45-23,11410,
2011,2015,¿¬Èñµ¿,"8,000",(78-18),2,0,3,15.21,78-18,11410,3
1994,2015,¿¬Èñµ¿,"10,000",(350-2),2,0,4,58.58,350-2,11410,1
2012,2015,¿¬Èñµ¿,"7,000",(132-47),2,0,4,17.33,132-47,11410,2
2013,2015,¿¬Èñµ¿,"3,000",¶ó¿ÂÁ¦³ª,2,55,5,19.27,305-6,11410,2
1990,2015,¿¬Èñµ¿,"4,000",(304-9),2,25,5,82.35,304-9,11410,1
2002,2015,¿¬Èñµ¿,"1,000",´ë°æºô¶ó,2,50,5,44.25,663,11410,5
1998,2015,¿¬Èñµ¿,"3,000",À¯Áöºô,2,25,5,26.05,520-144,11410,3
1997,2015,¿¬Èñµ¿,"7,700",(112-13),2,0,7,53.88,112-13,11410,1
2008,2015,¿¬Èñµ¿,"18,000",ÅäÃµ,2,0,7,48,74-9,11410,3
2012,2015,¿¬Èñµ¿,"3,000",(220-22),2,50,7,17.8,220-22,11410,4
2011,2015,¿¬Èñµ¿,500,È­ÀÌÆ®ºô,2,60,9,18.36,43-1,11410,1
1993,2015,¿¬Èñµ¿,"12,500",¿¬Èñºô¶óÆ®,2,0,9,76.56,51-137,11410,2
1997,2015,¿¬Èñµ¿,"11,500",(112-13),2,0,9,56.72,112-13,11410,2
2012,2015,¿¬Èñµ¿,"3,000",(132-47),2,30,9,18.43,132-47,11410,3
2012,2015,¿¬Èñµ¿,"4,000",(132-47),2,20,9,16.3,132-47,11410,2
2002,2015,¿¬Èñµ¿,"18,000",¼£·Ò¾ÆÆ®ºô,2,0,9,57.6,340-29,11410,1
2006,2015,¿¬Èñµ¿,"4,000",µÕÁöºô,2,55,9,40.46,353-85,11410,5
1982,2015,¿¬Èñµ¿,"15,000",¿¬¼¼ºô¶ó,2,0,10,60.17,194-68,11410,3
1997,2015,¿¬Èñµ¿,"3,000",(112-13),2,60,11,56.72,112-13,11410,1
2002,2015,¿¬Èñµ¿,"1,000",ÁöÀºÈú½º,2,50,11,26.15,136-14,11410,3
1996,2015,¿¬Èñµ¿,"10,000",µÎ·¹ÁÖÅÃ,2,0,12,56.88,520-166,11410,
2012,2015,¿¬Èñµ¿,500,(132-47),2,40,13,15.92,132-47,11410,1
2003,2015,¿¬Èñµ¿,"1,000",¼­¹®ºô¸®Áö,2,40,13,13.43,29,11410,4
1991,2015,¿¬Èñµ¿,"25,000",»ï¿ìºô¶ó,2,0,14,83.1,48-7,11410,2
2011,2015,¿¬Èñµ¿,"7,000",¸¸¹ÎÇÏ´Ã¾Ö,2,30,16,39.41,170-115,11410,5
2004,2015,¿¬Èñµ¿,"20,000",¼ø±×¸°ºô,2,0,16,66.66,138-45,11410,2
1998,2015,¿¬Èñµ¿,"2,000",À¯Áöºô,2,40,17,36.04,520-144,11410,1
2004,2015,¿¬Èñµ¿,"12,500",(344-155),2,0,22,47.71,344-155,11410,4
2008,2015,¿¬Èñµ¿,"2,000",(194-22),2,35,23,65.65,194-22,11410,4
2014,2015,¿¬Èñµ¿,"10,000",¿¬ÈñÇÏÀÌºô,2,0,23,56.78,164-3,11410,8
1983,2015,¿¬Èñµ¿,"15,000",(724-17),2,0,23,59.79,724-17,11410,1
1996,2015,¿¬Èñµ¿,"5,000",¿ì¼ººô¶ó,2,50,24,59.77,537-25,11410,3
1991,2015,¿¬Èñµ¿,"4,000",(446-65),2,55,25,96.6,446-65,11410,4
2007,2015,¿¬Èñµ¿,"13,000",(48-18),2,0,25,34.52,48-18,11410,3
2003,2015,¿¬Èñµ¿,"1,000",(444-63),2,75,26,45.92,444-63,11410,2
2004,2015,¿¬Èñµ¿,"17,000",ÀºÁöºô¶ó,2,30,26,57.2,188-59,11410,2
1991,2015,¿¬Èñµ¿,"2,500",¿¬¼¼ºô¶ó,2,75,26,71.94,220-23,11410,2
1986,2015,¿¬Èñµ¿,"9,000",(727-3),2,0,27,41.6,727-3,11410,2
1997,2015,¿¬Èñµ¿,"5,000",(112-13),2,35,27,56.72,112-13,11410,1
2004,2015,¿¬Èñµ¿,"7,000",(344-155),2,0,28,26.1,344-155,11410,5
1998,2015,È«Àºµ¿,"15,000",´ë»óºô¶óÆ®,2,0,2,80.68,323-4,11410,2
1991,2015,È«Àºµ¿,"6,500",¼¼½Åºô¶ó,2,0,2,47.34,265-166,11410,1
2002,2015,È«Àºµ¿,"5,500",È«Àºµ¿Äý½ººô,2,10,2,18.81,332-6,11410,2
1996,2015,È«Àºµ¿,"9,500",°ÅÀ¯ÁÖÅÃ(412-9),2,0,3,39,412-9,11410,4
2002,2015,È«Àºµ¿,500,(400-49),2,45,4,21.84,400-49,11410,3
1991,2015,È«Àºµ¿,"2,000",¿»¸²ºô¶ó-°¡³ªµ¿,2,50,6,36.45,366-28,11410,1
2003,2015,È«Àºµ¿,"1,500",(400-17),2,35,6,22.88,400-17,11410,2
2002,2015,È«Àºµ¿,"3,000",ÇÑ¼º¾ÆÆ®ºô,2,23,7,21.09,403-15,11410,1
2015,2015,È«Àºµ¿,"10,000",¾Æ¸£¶¼ºô,2,0,7,24.17,265-152,11410,2
1997,2015,È«Àºµ¿,"2,500",ÈúÅ¸¿î,2,0,7,27.14,265-288,11410,-1
1992,2015,È«Àºµ¿,"3,500",(8-694),2,0,9,32.43,8-694,11410,2
2013,2015,È«Àºµ¿,"10,000",ºê·¹¶óÅ¸¿î,2,0,9,23.4,265-83,11410,4
2014,2015,È«Àºµ¿,"14,000",¿¹¼Õºô,2,0,9,30.56,8-94,11410,2
1985,2015,È«Àºµ¿,"10,500",ÄÚ¿À·Õºô¶ó,2,0,10,87.57,322-1,11410,2
2013,2015,È«Àºµ¿,"17,000",Á¶ÀºÁý,2,0,10,53.11,265-56,11410,3
2012,2015,È«Àºµ¿,"3,200",°æ¿øÅ¾½ººô,2,0,10,66.36,265-196,11410,3
1992,2015,È«Àºµ¿,"6,700",¹Ì¼ººô¶ó,2,0,13,34.64,191-105,11410,3
1992,2015,È«Àºµ¿,"1,000",ÇØ¼º±×¸°ºô¶ó,2,50,14,47.06,412-26,11410,4
1991,2015,È«Àºµ¿,"11,000",È«Àº(338-9),2,0,15,49.14,338-9,11410,2
2001,2015,È«Àºµ¿,"8,500",Á¤¿ø¾ÆÆ®ºô,2,0,16,62.46,265-156,11410,1
2014,2015,È«Àºµ¿,"2,000",»þ¸£¸Á¸ÞÁ¾,2,75,23,42.57,397-33,11410,4
1991,2015,È«Àºµ¿,"8,000",¾Æ´ãºô¶ó(°¡µ¿),2,0,23,38.62,191-11,11410,2
1993,2015,È«Àºµ¿,"10,500",Çö´ëºô¶ó(414-32),2,0,23,45.01,414-32,11410,3
2003,2015,È«Àºµ¿,"14,000",Çö´ë¸Ç¼Ç(Bµ¿),2,0,23,72.27,265-283,11410,1
